predictor_set,repeat,fold,validation_participants,macro_f1,balanced_accuracy,macro_pr_auc,ELEVATED_FASTING_RANGE_sensitivity,ELEVATED_FASTING_RANGE_specificity,ELEVATED_FASTING_RANGE_pr_auc,ELEVATED_FASTING_RANGE_f1,NORMAL_RANGE_sensitivity,NORMAL_RANGE_specificity,NORMAL_RANGE_pr_auc,NORMAL_RANGE_f1
ppg_only,6,1,35,0.48043184885290147,0.4821428571428571,0.5697465795662717,0.14285714285714285,0.8214285714285714,0.2626226775295098,0.15384615384615385,0.8214285714285714,0.14285714285714285,0.8768704816030336,0.8070175438596491
ppg_only,6,2,35,0.6693657219973009,0.650462962962963,0.7299738011407312,0.375,0.9259259259259259,0.5330051892551892,0.46153846153846156,0.9259259259259259,0.375,0.9269424130262731,0.8771929824561403
ppg_only,6,3,35,0.48043184885290147,0.48842592592592593,0.5024374081689531,0.125,0.8518518518518519,0.24796335200746963,0.15384615384615385,0.8518518518518519,0.125,0.7569114643304367,0.8070175438596491
ppg_only,6,4,34,0.423728813559322,0.46296296296296297,0.5904463682618352,0.0,0.9259259259259259,0.276930963773069,0.0,0.9259259259259259,0.0,0.9039617727506013,0.847457627118644
ppg_only,6,5,34,0.47692307692307695,0.47883597883597884,0.5568681005602412,0.14285714285714285,0.8148148148148148,0.26077097505668934,0.15384615384615385,0.8148148148148148,0.14285714285714285,0.852965226063793,0.8
ppg_only,7,1,35,0.6224961479198767,0.6071428571428572,0.6312381673985108,0.2857142857142857,0.9285714285714286,0.34926870748299316,0.36363636363636365,0.9285714285714286,0.2857142857142857,0.9132076273140285,0.8813559322033898
ppg_only,7,2,35,0.6428571428571428,0.6319444444444444,0.7033663912651265,0.375,0.8888888888888888,0.4931041181041181,0.42857142857142855,0.8888888888888888,0.375,0.9136286644261349,0.8571428571428571
ppg_only,7,3,35,0.4067796610169492,0.4444444444444444,0.5944796989539571,0.0,0.8888888888888888,0.2988263849676893,0.0,0.8888888888888888,0.0,0.890133012940225,0.8135593220338984
ppg_only,7,4,34,0.4901960784313726,0.4947089947089947,0.5562371072602874,0.2857142857142857,0.7037037037037037,0.24798026048026048,0.23529411764705882,0.7037037037037037,0.2857142857142857,0.8644939540403143,0.7450980392156863
ppg_only,7,5,34,0.572027972027972,0.5687830687830688,0.5900166555139873,0.2857142857142857,0.8518518518518519,0.3298680155823013,0.3076923076923077,0.8518518518518519,0.2857142857142857,0.8501652954456733,0.8363636363636363
