permutation,context_only_macro_f1,context_only_balanced_accuracy,context_only_macro_pr_auc,ppg_plus_context_macro_f1,ppg_plus_context_balanced_accuracy,ppg_plus_context_macro_pr_auc,macro_f1_delta,balanced_accuracy_delta,macro_pr_auc_delta
16,0.4401294498381877,0.5,0.4940828443386347,0.47894643595346365,0.4878775834658188,0.5092803239069836,0.03881698611527595,-0.012122416534181224,0.015197479568348937
17,0.4401294498381877,0.5,0.5332532654092776,0.5087460245343026,0.5112281399046106,0.573662817262292,0.06861657469611493,0.011228139904610579,0.040409551853014314
18,0.4401294498381877,0.5,0.4962168852960849,0.4694457064970468,0.4768481717011129,0.5058387423631651,0.02931625665885912,-0.023151828298887123,0.009621857067080186
19,0.4401294498381877,0.5,0.5127662068577594,0.5283961835529305,0.5284181240063593,0.5204959954041836,0.0882667337147428,0.028418124006359347,0.007729788546424143
20,0.4401294498381877,0.5,0.4915438186575908,0.5132034632034632,0.5137122416534181,0.50479402271948,0.07307401336527553,0.013712241653418111,0.01325020406188926
21,0.4401294498381877,0.5,0.475371903487647,0.5169449767314536,0.5173887122416534,0.5144009120123509,0.07681552689326587,0.017388712241653392,0.03902900852470392
22,0.4383116883116883,0.4963235294117647,0.507327177344302,0.4487347703842549,0.4682034976152623,0.4456403723349417,0.010423082072566592,-0.02812003179650241,-0.0616868050093603
23,0.4401294498381877,0.5,0.4904410493737251,0.5015514184397163,0.5038751987281399,0.5337760398098369,0.0614219686015286,0.003875198728139906,0.043334990436111775
24,0.4401294498381877,0.5,0.45836934441745064,0.43655699567962775,0.4657193958664547,0.4728874337166269,-0.0035724541585599456,-0.03428060413354528,0.014518089299176251
25,0.4401294498381877,0.5,0.5522133831025432,0.4980016424856283,0.5001987281399046,0.5170603225098235,0.05787219264744059,0.0001987281399046248,-0.03515306059271972
26,0.4678742310321258,0.5135135135135135,0.535912782836125,0.4694457064970468,0.4768481717011129,0.49037430163784934,0.001571475464921035,-0.03666534181240061,-0.04553848119827564
27,0.4401294498381877,0.5,0.5841078979526125,0.5362470862470863,0.5357710651828299,0.572048636419384,0.09611763640889859,0.03577106518282991,-0.01205926153322856
28,0.4401294498381877,0.5,0.5298700224661599,0.5564102564102564,0.5529610492845787,0.5399859025973768,0.11628080657206874,0.052961049284578676,0.010115880131216892
29,0.4401294498381877,0.5,0.5545121206837971,0.5835339431872894,0.5787957074721781,0.562301215798545,0.14340449334910166,0.07879570747217812,0.0077890951147479015
30,0.4401294498381877,0.5,0.5306346794874164,0.4469123338381289,0.4559817170111288,0.4953188936318331,0.006782883999941203,-0.04401828298887123,-0.03531578585558326
31,0.4401294498381877,0.5,0.5692311093425569,0.48751586965721544,0.4891693163751987,0.5017737579925856,0.04738641981902775,-0.010830683624801274,-0.06745735134997133
32,0.4401294498381877,0.5,0.46775892379328216,0.5676965015901863,0.5627980922098569,0.5452561933341589,0.12756705175199856,0.06279809220985688,0.07749726954087671
33,0.4401294498381877,0.5,0.5720663313073413,0.5590647163120568,0.5554451510333863,0.5782296053996171,0.1189352664738691,0.05544515103338632,0.0061632740922757945
34,0.4401294498381877,0.5,0.5003508927155859,0.4993799090533278,0.5050675675675675,0.5168460835517464,0.059250459215140105,0.0050675675675675436,0.016495190836160578
35,0.4401294498381877,0.5,0.5237302608637215,0.5676965015901863,0.5627980922098569,0.5265327661985226,0.12756705175199856,0.06279809220985688,0.0028025053348010864
36,0.4401294498381877,0.5,0.5401149727580068,0.48238031914893614,0.48668521462639114,0.4929038685838477,0.04225086931074845,-0.013314785373608862,-0.04721110417415908
37,0.4401294498381877,0.5,0.5558910047720698,0.4959207459207459,0.5013910969793323,0.5350763220017346,0.05579129608255823,0.0013910969793322625,-0.020814682770335158
38,0.4401294498381877,0.5,0.47554543432245694,0.4200191570881226,0.43998410174880764,0.46883434224574616,-0.020110292750065095,-0.06001589825119236,-0.0067110920767107785
39,0.4401294498381877,0.5,0.4908695377922846,0.47575757575757577,0.4842011128775835,0.5651017074258746,0.035628125919388076,-0.015798887122416505,0.07423216963359003
40,0.4401294498381877,0.5,0.4665892520728925,0.45559440559440556,0.4670111287758346,0.5182258663826054,0.015464955756217869,-0.032988871224165384,0.05163661430971289
41,0.4401294498381877,0.5,0.48856095236714925,0.6271551724137931,0.6118839427662958,0.5865262465678356,0.18702572257560546,0.11188394276629576,0.09796529420068634
42,0.4401294498381877,0.5,0.4606204425824036,0.45851296285359944,0.47068759936407,0.43207615803308574,0.018383513015411745,-0.02931240063592999,-0.028544284549317844
43,0.4401294498381877,0.5,0.4638446008347973,0.5087460245343026,0.5112281399046106,0.49876891671154205,0.06861657469611493,0.011228139904610579,0.03492431587674477
44,0.4401294498381877,0.5,0.5706558256195808,0.5522001725625539,0.5492845786963434,0.5005684542517248,0.11207072272436625,0.049284578696343395,-0.07008737136785603
45,0.4580200501253133,0.49880763116057236,0.543194228567683,0.5737749794689296,0.5689586645468998,0.5996059600287176,0.11575492934361631,0.07015103338632744,0.05641173146103462
46,0.4401294498381877,0.5,0.4556770405183047,0.42475369458128076,0.4473370429252782,0.4715479723810793,-0.015375755256906931,-0.052662957074721795,0.015870931862774607
47,0.4401294498381877,0.5,0.5436988313241278,0.5693722943722944,0.5652821939586645,0.578819608015132,0.12924284453410673,0.06528219395866453,0.03512077669100422
48,0.4401294498381877,0.5,0.4482441039644741,0.4469123338381289,0.4559817170111288,0.48037949498271026,0.006782883999941203,-0.04401828298887123,0.03213539101823615
49,0.4401294498381877,0.5,0.4953700284135111,0.48215996168582376,0.49155405405405406,0.46472504611559584,0.042030511847636065,-0.008445945945945943,-0.030644982297915235
50,0.4401294498381877,0.5,0.5046402909571259,0.45559440559440556,0.4670111287758346,0.4660298637941601,0.015464955756217869,-0.032988871224165384,-0.03861042716296581
51,0.4401294498381877,0.5,0.4274360758795215,0.48406843509653114,0.48549284578696345,0.5000201911369333,0.043938985258343444,-0.014507154213036555,0.07258411525741182
52,0.4401294498381877,0.5,0.4447612277702618,0.4944805194805195,0.49652225755166934,0.48108127840330694,0.05435106964233183,-0.0034777424483306563,0.036320050633045164
53,0.4401294498381877,0.5,0.5174944094262985,0.4487347703842549,0.4682034976152623,0.4782005146323526,0.008605320546067219,-0.03179650238473769,-0.03929389479394596
54,0.4401294498381877,0.5,0.5249991542465736,0.4857255033933479,0.4903616852146264,0.5213811491933658,0.04559605355516022,-0.00963831478537358,-0.0036180050532078623
55,0.4401294498381877,0.5,0.4957799418266136,0.48430047694753575,0.48430047694753575,0.5007028104994639,0.04417102710934806,-0.015699523052464248,0.004922868672850245
56,0.4401294498381877,0.5,0.47919526955185343,0.49249352890422776,0.497714626391097,0.5050591901303864,0.05236407906604007,-0.0022853736089030185,0.02586392057853293
57,0.4401294498381877,0.5,0.5019319245338594,0.4411716397481522,0.4486287758346582,0.48930412920427524,0.0010421899099645193,-0.05137122416534179,-0.012627795329584135
58,0.46045581767293087,0.5024841017488076,0.5795344925367538,0.6219807476525128,0.6082074721780604,0.581127951461807,0.1615249299795819,0.10572337042925273,0.0015934589250531372
