split,count,min,p01,p05,p25,median,p75,p95,p99,max,mean,std
all,22038,-4.3531926977215685,-1.5328908565176935,-0.8642857142857133,-0.23571428571428682,-0.0071649599035637675,0.1928571428571433,0.9642720568340409,1.793743612011581,3.764285714285712,0.0005635662643790772,0.5604370995791935
train,16652,-4.3531926977215685,-1.494614893132143,-0.8430581652486526,-0.2398412405651597,-0.012880134827356726,0.1929408593309671,0.9355643853288738,1.7353558258523831,3.743807429519206,-0.002194628835837309,0.5507311108926332
validation,5386,-3.550000000000001,-1.6092857142857155,-0.9214383837407957,-0.22144757317003705,-4.07976852000414e-05,0.17870839508008807,1.0597929579606609,1.9664900326085386,3.764285714285712,0.009091131212170256,0.5893535881335064
