feature,method,pooled_n,pooled_correlation,participant_count,participant_mean,participant_median,participant_iqr,participant_min,participant_max
history_max_last,spearman,22038,0.026574090238817356,16,0.024123907811027225,0.03342493767971062,0.07328455883787767,-0.06508072860884867,0.12478677209254899
history_q25_mean,pearson,22038,0.0013145501142834603,16,0.003334143903960118,-0.005246761508964983,0.05279241492790082,-0.09088080098725008,0.08973316227718409
history_q25_mean,spearman,22038,-0.0049945614956414955,16,0.009510486428888187,0.008656293690619472,0.052808631068328435,-0.06154028930493548,0.08437295955419045
history_q25_std,pearson,22038,0.0032484642434860997,16,-0.0013405011002311697,-0.0013414642938145787,0.0638228012758115,-0.1748990259071922,0.14969278275120762
history_q25_std,spearman,22038,-0.0043699708380701705,16,-0.023287759390506806,-0.020354214531820788,0.11109894952386226,-0.19739073748742342,0.16897351383998613
history_q25_min,pearson,22038,-0.0037277600980934827,16,-0.0011236630372475406,0.0104881776706948,0.09287173994952794,-0.10706934573902371,0.13913490478489504
history_q25_min,spearman,22038,-0.0016188720518050311,16,0.014116453404969998,0.024772401036324058,0.08991801336411019,-0.11494338072204487,0.13826873264898962
history_q25_max,pearson,22038,-0.0030299553403141176,16,0.0005075361323685261,-0.004532802976395224,0.07339012315459258,-0.09062712411869057,0.13704871681553457
history_q25_max,spearman,22038,-0.014356004890741457,16,-0.014116754373182033,-0.01711965019126074,0.09694484698331937,-0.13529687275480773,0.1339690331135027
history_q25_last,pearson,22038,-0.017063174634516006,16,-0.016400408001491975,-0.020405573293014827,0.05295505572184796,-0.08890718468852168,0.07091021482610803
history_q25_last,spearman,22038,-0.021158793377403815,16,-0.020440071937966188,-0.02113039320858691,0.05694466143367344,-0.07810730735238976,0.03842841516516325
history_q75_mean,pearson,22038,-0.0023889264619842317,16,-0.005738620230500328,-0.0006762742397777528,0.07221103238788673,-0.0945976140335197,0.08066436095641898
history_q75_mean,spearman,22038,0.004018377903717655,16,-0.011679956752234263,-0.013295740870934939,0.06788952274775885,-0.09409287137356566,0.06540134966330347
history_q75_std,pearson,22038,0.0038930198578137317,16,-0.001751881842954832,0.004623564945369397,0.05573799972132556,-0.1722241241949684,0.16210747677953874
history_q75_std,spearman,22038,-0.004380067113930772,16,-0.02252840249906339,-0.020724186492544237,0.10497693972335825,-0.19307730528904257,0.18227548497664434
history_q75_min,pearson,22038,0.0006097790401504868,16,-0.004288054299913353,-0.00525321489976647,0.0717295546700718,-0.13491198466216353,0.07957126636019674
history_q75_min,spearman,22038,0.01326889707845035,16,0.010186307702839806,0.02254196350759799,0.10736041967047952,-0.13193779795155602,0.12766962870489287
history_q75_max,pearson,22038,0.003090301700317352,16,0.0018702361961863067,0.011077075404640825,0.08673741750751907,-0.159187434943213,0.12081155839284562
history_q75_max,spearman,22038,0.0023759687997730403,16,-0.011458449348978586,-0.00942961791351193,0.0900131123147341,-0.14458831695424204,0.14381779653954174
history_q75_last,pearson,22038,0.018294090294316168,16,0.01599725081697535,0.024278260936662282,0.053751017184304015,-0.07767343469253211,0.09197799195920829
history_q75_last,spearman,22038,0.019531867793983314,16,0.016836866305862,0.018151598207315465,0.04091108689371825,-0.04792065167548958,0.08518610289585778
history_mean_abs_diff_mean,pearson,22038,-0.0020868459831655563,16,-0.01353518285596024,-0.006582593695534409,0.09143600491609932,-0.23041342747181848,0.09113769829888425
history_mean_abs_diff_mean,spearman,22038,0.003800192759983411,16,-0.016587760632928758,-0.020189025589928793,0.06507845600637796,-0.21068476947704878,0.11522811395183649
history_mean_abs_diff_std,pearson,22038,0.0018219065562992214,16,-0.00706946727548281,-0.0009643664666257536,0.0508929488366437,-0.20404178360904318,0.15733788010119856
history_mean_abs_diff_std,spearman,22038,-0.010478825403463211,16,-0.024943352599174587,-0.011675345786353089,0.10733070563166217,-0.2240576450685023,0.1807103491696595
history_mean_abs_diff_min,pearson,22038,-0.004238437995605004,16,-0.010918321459931653,-0.005674174798171225,0.05610955763770584,-0.12592111004286174,0.0836274827005183
history_mean_abs_diff_min,spearman,22038,0.009517820384204201,16,0.005653342654295455,-0.00284002046299381,0.06779677261131485,-0.11790771680213047,0.0939023912074953
history_mean_abs_diff_max,pearson,22038,0.0013360550342057709,16,-0.004679384277041013,0.010291325936726561,0.06463179908154819,-0.18739055868103394,0.13975230502546
history_mean_abs_diff_max,spearman,22038,-0.007427023014864255,16,-0.02297437086937025,-0.018445601170228247,0.10128347747667495,-0.18664331657226652,0.1754246464335543
history_mean_abs_diff_last,pearson,22038,0.029672690989360942,16,0.024718842809328193,0.022175745622894233,0.067437195332961,-0.08221298792588146,0.0968904865548096
history_mean_abs_diff_last,spearman,22038,0.027294243537875372,16,0.025604684562374892,0.020864456815894265,0.05984537851354322,-0.052459737241947704,0.09504578728183477
history_diff_std_mean,pearson,22038,-0.001448582433854161,16,-0.012753438533306667,0.0015860377744324368,0.08519360935065917,-0.25476821855769977,0.09810858472144968
history_diff_std_mean,spearman,22038,0.0017509862070187005,16,-0.01771411682549317,-0.008256341398747735,0.07582649075323089,-0.2556167313056182,0.12441045716102903
history_diff_std_std,pearson,22038,0.0007304473043556394,16,-0.006397974019866625,0.012922727904680405,0.06855011319361809,-0.1923093696319877,0.13561233739064227
history_diff_std_std,spearman,22038,-0.013956623264326808,16,-0.02668926437739216,-0.0038036066258224175,0.11388509338559902,-0.21128634693570103,0.16450106376642332
history_diff_std_min,pearson,22038,-0.006279528530735552,16,-0.013703950074096534,-0.002356133331710015,0.05960745269352449,-0.10373619581921818,0.058048976880453414
history_diff_std_min,spearman,22038,0.005998071109397312,16,0.0009187643193567844,-0.004106252263147961,0.06686873941651658,-0.10584132973840782,0.07067523240179362
history_diff_std_max,pearson,22038,-0.004808491250753947,16,-0.011439485001437226,0.0048319042524373156,0.06443513710188056,-0.18928011066409514,0.10420805939625764
history_diff_std_max,spearman,22038,-0.012608588267060678,16,-0.028988560842057264,-0.01647008452062148,0.10066731340080734,-0.19432523999216814,0.15290813791923194
history_diff_std_last,pearson,22038,0.03248156908919365,16,0.029061934359557035,0.027254082501433324,0.06802928719475056,-0.06711481771041394,0.10076485461775052
history_diff_std_last,spearman,22038,0.027918195134584146,16,0.02662349281062977,0.0208314229862631,0.07470660366366244,-0.06265606442945272,0.10743171165953089
history_flat_fraction_mean,pearson,22038,-0.0056641090878722265,16,-0.006874916441084148,0.016018155291480228,0.08330005735990234,-0.20145949104095923,0.08606479336213542
history_flat_fraction_mean,spearman,22038,-0.0129808020428881,16,-0.006275370718077333,-0.00742339835151733,0.08069012348504731,-0.1329654274910192,0.07715193421502238
history_flat_fraction_std,pearson,22038,-0.0012214406987417017,16,-0.003502163092705049,-0.005146404080453636,0.08570447488743285,-0.10419461893389725,0.14545074568784083
history_flat_fraction_std,spearman,22038,-0.013634479716008936,16,-0.014990186523877739,-0.011724253485217962,0.06209879642312673,-0.13157089475913453,0.10664680335100366
