participant_id,model,macro_f1,support
001,majority,0.28960155490767736,388
002,majority,0.255418863503222,351
003,majority,0.324,257
004,majority,0.28028503562945367,244
005,majority,0.3073170731707317,442
006,majority,0.27936507936507937,305
007,majority,0.3056727613689639,385
008,majority,0.27978774722624217,401
009,majority,0.301521438450899,396
010,majority,0.2604501607717042,379
011,majority,0.28477133427628476,405
012,majority,0.30837004405286345,366
013,majority,0.2718556119571348,350
014,majority,0.28286852589641437,289
015,majority,0.27699530516431925,83
016,majority,0.25814091178211956,345
001,always_stable,0.28960155490767736,388
002,always_stable,0.255418863503222,351
003,always_stable,0.324,257
004,always_stable,0.28028503562945367,244
005,always_stable,0.3073170731707317,442
006,always_stable,0.27936507936507937,305
007,always_stable,0.3056727613689639,385
008,always_stable,0.27978774722624217,401
009,always_stable,0.301521438450899,396
010,always_stable,0.2604501607717042,379
011,always_stable,0.28477133427628476,405
012,always_stable,0.30837004405286345,366
013,always_stable,0.2718556119571348,350
014,always_stable,0.28286852589641437,289
015,always_stable,0.27699530516431925,83
016,always_stable,0.25814091178211956,345
001,logistic_history,0.28960155490767736,388
002,logistic_history,0.255418863503222,351
003,logistic_history,0.324,257
004,logistic_history,0.28028503562945367,244
005,logistic_history,0.30687830687830686,442
006,logistic_history,0.27936507936507937,305
007,logistic_history,0.3056727613689639,385
008,logistic_history,0.27978774722624217,401
009,logistic_history,0.301521438450899,396
010,logistic_history,0.2814923427826654,379
011,logistic_history,0.28477133427628476,405
012,logistic_history,0.30837004405286345,366
013,logistic_history,0.2718556119571348,350
014,logistic_history,0.28286852589641437,289
015,logistic_history,0.27699530516431925,83
016,logistic_history,0.25814091178211956,345
001,logistic_current_window,0.28960155490767736,388
002,logistic_current_window,0.255418863503222,351
003,logistic_current_window,0.324,257
004,logistic_current_window,0.28028503562945367,244
005,logistic_current_window,0.3073170731707317,442
006,logistic_current_window,0.27936507936507937,305
007,logistic_current_window,0.3056727613689639,385
008,logistic_current_window,0.27978774722624217,401
009,logistic_current_window,0.301521438450899,396
010,logistic_current_window,0.2604501607717042,379
011,logistic_current_window,0.28477133427628476,405
012,logistic_current_window,0.30837004405286345,366
013,logistic_current_window,0.2718556119571348,350
014,logistic_current_window,0.28286852589641437,289
015,logistic_current_window,0.27699530516431925,83
016,logistic_current_window,0.25814091178211956,345
001,logistic_shifted_control,0.28960155490767736,388
002,logistic_shifted_control,0.255418863503222,351
003,logistic_shifted_control,0.324,257
004,logistic_shifted_control,0.28028503562945367,244
005,logistic_shifted_control,0.3073170731707317,442
006,logistic_shifted_control,0.27936507936507937,305
007,logistic_shifted_control,0.3056727613689639,385
008,logistic_shifted_control,0.27978774722624217,401
009,logistic_shifted_control,0.301521438450899,396
010,logistic_shifted_control,0.2604501607717042,379
011,logistic_shifted_control,0.28477133427628476,405
012,logistic_shifted_control,0.30837004405286345,366
013,logistic_shifted_control,0.2718556119571348,350
014,logistic_shifted_control,0.28286852589641437,289
015,logistic_shifted_control,0.27699530516431925,83
016,logistic_shifted_control,0.25814091178211956,345
