participant_id,variant_policy,macro_f1
001,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.2899896800825594
002,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.2578616352201258
003,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.32424877707896577
004,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.28426395939086296
005,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.31140350877192985
006,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.28062678062678065
007,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.3124346917450366
008,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.2816281628162816
009,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.3011422637590862
010,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.25872442839951865
011,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.285443338074917
012,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.31421188630490954
013,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.2688766114180479
014,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.28840579710144926
015,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.27699530516431925
016,bp_0p7_4_robust__hard_exclude_bottom_train_decile,0.2565104166666667
001,bp_0p5_8_zscore__train_participant_robust_scale,0.28960155490767736
002,bp_0p5_8_zscore__train_participant_robust_scale,0.255418863503222
003,bp_0p5_8_zscore__train_participant_robust_scale,0.32323232323232326
004,bp_0p5_8_zscore__train_participant_robust_scale,0.28028503562945367
005,bp_0p5_8_zscore__train_participant_robust_scale,0.3073170731707317
006,bp_0p5_8_zscore__train_participant_robust_scale,0.27936507936507937
007,bp_0p5_8_zscore__train_participant_robust_scale,0.3056727613689639
008,bp_0p5_8_zscore__train_participant_robust_scale,0.27978774722624217
009,bp_0p5_8_zscore__train_participant_robust_scale,0.301521438450899
010,bp_0p5_8_zscore__train_participant_robust_scale,0.2604501607717042
011,bp_0p5_8_zscore__train_participant_robust_scale,0.28477133427628476
012,bp_0p5_8_zscore__train_participant_robust_scale,0.30837004405286345
013,bp_0p5_8_zscore__train_participant_robust_scale,0.2718556119571348
014,bp_0p5_8_zscore__train_participant_robust_scale,0.2813333333333333
015,bp_0p5_8_zscore__train_participant_robust_scale,0.27699530516431925
016,bp_0p5_8_zscore__train_participant_robust_scale,0.25814091178211956
001,selected__large_circular_shift_control,0.30889810972798526
002,selected__large_circular_shift_control,0.2779623477297896
003,selected__large_circular_shift_control,0.2682170542635659
004,selected__large_circular_shift_control,0.29272030651340997
005,selected__large_circular_shift_control,0.3125
006,selected__large_circular_shift_control,0.29081947011706716
007,selected__large_circular_shift_control,0.3096893834028744
008,selected__large_circular_shift_control,0.2769679300291545
009,selected__large_circular_shift_control,0.301521438450899
010,selected__large_circular_shift_control,0.286144578313253
011,selected__large_circular_shift_control,0.28531073446327687
012,selected__large_circular_shift_control,0.3185924869234427
013,selected__large_circular_shift_control,0.3189269746646796
014,selected__large_circular_shift_control,0.2821024617431803
015,selected__large_circular_shift_control,0.32083333333333336
016,selected__large_circular_shift_control,0.268053148469093
